Date,Mid_Value,Mid_Change
1994-01-01,16.3,0.031646
1994-07-01,16.8,0.030675
1995-01-01,17.8,0.059524
1996-08-01,16.5,-0.073034
1997-04-01,17.25,0.045455
1997-06-01,18.0,0.043478
1999-01-01,14.8,-0.177778
2001-11-01,11.8,-0.202703
2002-03-01,12.55,0.063559
2002-09-01,13.3,0.059761
2003-01-01,14.05,0.056391
2003-07-01,15.8,0.124555
2003-08-01,16.55,0.047468
2003-09-01,17.05,0.030211
2003-11-01,17.55,0.029326
2004-01-01,21.0,0.196581
2004-03-01,18.55,-0.116667
2004-04-01,20.3,0.065317
2004-05-01,25.7,0.220903
2004-06-01,24.7,-0.038911
2004-07-01,27.7,0.121457
2004-12-01,26.2,-0.054152
2005-05-01,24.7,-0.057252
2005-09-01,26.95,0.091093
2005-10-01,27.45,0.0006640000000000014
2005-12-01,27.95,0.037106
2006-06-01,30.35,0.085868
2006-10-01,29.6,-0.024712
2007-01-01,30.35,0.025338
2007-02-01,31.85,0.049423
2007-03-01,34.6,0.086342
2007-04-01,33.35,-0.036127
2007-09-01,33.85,0.014993
2007-12-01,35.1,0.036928
2008-01-01,38.1,0.08547
2008-03-01,39.35,0.032808
2008-04-01,46.7,0.186785
2008-05-01,48.7,0.042827
2008-06-01,50.45,0.035934
2008-07-01,53.7,0.06442
2008-09-01,50.95,-0.012093
2008-10-01,48.15,-0.077586
2008-11-01,44.0,-0.086189
2009-02-01,40.8,-0.0458915
2009-03-01,35.05,-0.124844
2009-04-01,33.05,-0.057061
2009-06-01,34.05,0.030257
2009-07-01,36.05,0.058737
2009-09-01,34.05,-0.055479
2009-10-01,32.55,-0.044053
2010-01-01,35.8,0.099846
2010-02-01,37.8,0.055866
2010-05-01,41.0,0.084656
2010-06-01,38.75,-0.054878
2010-07-01,37.75,-0.025806
2010-09-01,39.5,0.029377
2010-11-01,38.5,-0.0375
2010-12-01,40.0,0.025645
2011-01-01,42.5,0.049383
2011-02-01,43.25,0.017647
2011-05-01,42.25,-0.023121
2011-06-01,41.25,-0.023669
2011-07-01,43.2,0.047273
2011-11-01,42.45,-0.017361
2012-01-01,43.95,0.035336
2012-02-01,44.7,0.0005635000000000015
2012-06-01,42.825,-0.017213
2012-07-01,39.05,-0.080094
2012-09-01,40.15,0.028169
2012-10-01,38.15,-0.049813
2012-12-01,39.9,0.045872
2013-03-01,38.025,-0.014617500000000002
2013-05-01,37.65,-0.025873
2013-11-01,38.65,0.02656
2014-01-01,39.65,0.025873
2014-02-01,40.65,0.025221
2014-12-01,40.65,0.0
2015-01-01,38.15,-0.061501
2015-02-01,36.15,-0.052425
2015-03-01,36.15,0.0
2015-04-01,36.15,0.0
2015-05-01,36.15,0.0
2015-06-01,36.15,0.0
2015-07-01,36.15,0.0
2015-08-01,34.9,-0.034578
2015-09-01,33.4,-0.04298
2015-10-01,32.15,-0.037425
2015-11-01,32.15,0.0
2015-12-01,28.65,-0.0544325
2016-01-01,28.65,0.0
2016-02-01,28.65,0.0
2016-03-01,28.65,0.0
2016-04-01,30.15,0.052356
2016-05-01,31.65,0.049751
2016-06-01,31.65,0.0
2016-07-01,31.65,0.0
2016-08-01,31.65,0.0
2016-09-01,30.05,-0.050553
2016-10-01,30.05,0.0
2016-11-01,30.05,0.0
2017-01-01,31.424999999999997,0.045757
2017-02-01,32.8,0.0
2017-03-01,32.8,0.0
2017-04-01,32.8,0.0
2017-05-01,32.8,0.0
2017-06-01,32.8,0.0
2017-07-01,32.8,0.0
2017-08-01,32.8,0.0
2017-09-01,29.8,-0.091463
2017-10-01,29.8,0.0
2017-11-01,29.8,0.0
2017-12-01,29.8,0.0
2018-01-01,32.8,0.100671
2018-03-01,33.8,0.030488
2018-04-01,36.55,0.050287
2018-05-01,36.55,0.0
2018-06-01,38.05,0.04104
2018-07-01,38.05,0.0
2018-08-01,38.05,0.0
2018-09-01,38.05,0.0
2018-10-01,38.05,0.0
2018-11-01,38.05,0.0
