Date,Mid_Value,Mid_Change
1970-01-01,6.95,0.02963
1970-02-01,6.95,0.0
1970-03-01,6.95,0.0
1970-04-01,6.95,0.0
1970-05-01,6.95,0.0
1970-06-01,7.5,0.079137
1970-07-01,7.5,0.0
1970-08-01,7.5,0.0
1970-09-01,7.5,0.0
1970-10-01,7.5,0.0
1970-11-01,7.5,0.0
1970-12-01,7.5,0.0
1971-01-01,7.5,0.0
1971-02-01,7.5,0.0
1971-03-01,7.5,0.0
1971-04-01,7.5,0.0
1971-05-01,7.5,0.0
1971-06-01,7.95,0.06
1971-07-01,7.95,0.0
1971-08-01,7.95,0.0
1971-09-01,7.95,0.0
1971-10-01,7.95,0.0
1971-11-01,7.95,0.0
1971-12-01,7.95,0.0
1972-01-01,8.48,0.066667
1972-02-01,8.35,-0.01533
1972-03-01,8.35,0.0
1972-04-01,8.35,0.0
1972-05-01,8.35,0.0
1972-06-01,8.35,0.0
1972-07-01,8.35,0.0
1972-08-01,8.35,0.0
1972-09-01,8.35,0.0
1972-10-01,8.35,0.0
1972-11-01,8.35,0.0
1972-12-01,8.35,0.0
1973-01-01,8.35,0.0
1973-02-01,8.35,0.0
1973-03-01,8.35,0.0
1973-04-01,8.35,0.0
1973-05-01,8.35,0.0
1973-06-01,8.35,0.0
1973-07-01,8.35,0.0
1973-08-01,8.35,0.0
1973-09-01,8.35,0.0
1973-10-01,8.4,0.005988
1973-11-01,8.4,0.0
1973-12-01,8.4,0.0
1974-01-01,8.675,0.032738
1974-02-01,8.675,0.0
1974-03-01,8.675,0.0
1974-04-01,8.675,0.0
1974-05-01,9.55,0.100865
1974-06-01,9.55,0.0
1974-07-01,11.0,0.151832
1974-08-01,11.0,0.0
1974-09-01,11.0,0.0
1974-10-01,11.0,0.0
1974-11-01,11.0,0.0
1974-12-01,11.0,0.0
1975-01-01,13.25,0.204545
1975-02-01,13.25,0.0
1975-03-01,13.25,0.0
1975-04-01,12.98,-0.020377
1975-05-01,11.3,-0.12943
1975-06-01,11.3,0.0
1975-07-01,11.18,-0.010619
1975-08-01,11.02,-0.014311
1975-09-01,11.02,0.0
1975-10-01,11.55,0.048094
1975-11-01,11.55,0.0
1975-12-01,11.55,0.0
1976-01-01,11.55,0.0
1976-02-01,11.55,0.0
1976-03-01,11.55,0.0
1976-04-01,11.55,0.0
1976-05-01,11.55,0.0
1976-06-01,12.28,0.063203
1976-07-01,12.45,0.013844
1976-08-01,12.45,0.0
1976-09-01,12.45,0.0
1976-10-01,12.45,0.0
1976-11-01,12.45,0.0
1976-12-01,13.25,0.064257
1977-01-01,13.25,0.0
1977-02-01,13.25,0.0
1977-03-01,13.25,0.0
1977-04-01,13.25,0.0
1977-05-01,13.25,0.0
1977-06-01,13.67,0.031698
1977-07-01,14.18,0.037308
1977-08-01,14.18,0.0
1977-09-01,14.18,0.0
1977-10-01,14.18,0.0
1977-11-01,14.18,0.0
1977-12-01,14.18,0.0
1978-01-01,14.18,0.0
1978-02-01,15.0,0.057828
1978-03-01,15.0,0.0
1978-04-01,15.28,0.018667
1978-05-01,15.28,0.0
1978-06-01,15.28,0.0
1978-07-01,15.28,0.0
1978-08-01,15.8,0.034031
1978-09-01,15.8,0.0
1978-10-01,15.8,0.0
1978-11-01,15.8,0.0
1978-12-01,15.8,0.0
1979-01-01,16.6,0.050633
1979-02-01,16.6,0.0
1979-03-01,16.6,0.0
