Date,Mid_Value,Mid_Change
1999-03-01,17.0,0.0
1999-09-01,15.0,-0.117647
2000-04-01,16.0,0.066667
2000-12-01,12.0,-0.25
2001-02-01,13.0,0.083333
2002-02-01,14.5,0.115385
2002-04-01,15.5,0.068966
2002-06-01,16.0,0.032258
2003-05-01,15.5,-0.03125
2004-02-01,24.0,0.3005865
2004-03-01,24.0,-0.076923
2004-04-01,32.0,0.333333
2004-06-01,34.0,0.0625
2004-09-01,40.5,0.191176
2005-02-01,39.0,-0.037037
2005-03-01,40.5,0.038462
2005-04-01,41.5,0.024691
2005-05-01,40.5,-0.024096
2005-06-01,39.5,-0.024691
2005-07-01,36.0,-0.088608
2005-09-01,40.0,0.111111
2005-11-01,40.5,0.0125
2006-04-01,41.5,0.024691
2006-06-01,42.5,0.024096
2006-10-01,40.5,-0.047059
2007-03-01,43.0,0.061728
2007-08-01,39.5,-0.081395
2007-12-01,41.0,0.037975
2008-01-01,44.0,0.073171
2008-02-01,45.75,0.039773
2008-03-01,53.0,0.1014175
2008-04-01,64.5,0.162162
2008-05-01,66.5,0.031008
2008-06-01,71.0,0.067669
2008-08-01,75.0,0.056338
2008-09-01,74.0,-0.013333
2008-10-01,67.75,-0.055585499999999996
2008-11-01,61.5,-0.046537
2008-12-01,54.0,-0.1
2009-01-01,44.0,-0.185185
2009-02-01,39.0,-0.113636
2009-03-01,35.0,-0.091768
2009-04-01,29.0,-0.09375
2009-07-01,31.0,0.020474
2009-08-01,32.0,0.066667
2009-10-01,32.0,-0.014678
2009-12-01,33.5,0.080645
2010-01-01,36.5,0.089552
2010-03-01,39.75,0.059865
2010-04-01,44.0,0.073171
2010-07-01,40.0,-0.058481000000000005
2010-10-01,38.0,-0.025641
2010-11-01,38.5,0.013158
2010-12-01,40.0,0.038961
2011-01-01,43.75,0.060662
2011-02-01,52.0,0.155556
2011-03-01,54.0,0.038462
2011-04-01,56.0,0.037037
2011-05-01,54.0,-0.035714
2011-07-01,51.0,-0.055556
2011-08-01,50.7,-0.0044205
2011-09-01,49.75,-0.010440000000000001
2011-10-01,48.375,-0.017805500000000002
2011-11-01,47.25,-0.010471
2011-12-01,46.25,-0.0077925
2012-01-01,47.0,0.010753
2012-02-01,46.5,-0.010638
