Date,Mid_Value,Mid_Change
1994-09-01,155.0,0.0
1994-10-01,173.33333333333334,0.01672633333333333
1994-11-01,160.0,0.0
1994-12-01,160.0,0.0
1995-01-01,186.25,0.06661175
1995-02-01,206.875,0.006210500000000001
1995-03-01,210.0,0.0
1995-04-01,210.0,0.0
1995-05-01,210.0,0.0
1995-06-01,210.0,0.0
1995-07-01,212.5,0.0059525
1995-08-01,212.5,-0.0038759999999999997
1995-09-01,215.0,0.005952375
1995-10-01,217.5,-0.005681875
1995-11-01,210.0,0.0
1995-12-01,204.375,-0.009093875000000001
1996-01-01,195.0,0.0
1996-02-01,195.0,0.0
1996-03-01,197.5,0.00641025
1996-04-01,205.0,0.0
1996-05-01,188.5,-0.007536399999999999
1996-06-01,187.5,0.0
1996-07-01,187.5,0.0
1996-08-01,186.07142857142858,-0.0038095714285714287
1996-09-01,190.0,0.006758
1996-10-01,192.5,0.0
1996-11-01,192.5,0.0
1996-12-01,192.5,0.0
1997-01-01,192.5,0.0
1997-02-01,192.5,0.0
1997-03-01,206.0,0.0233765
1997-04-01,210.5,0.0
1997-05-01,210.5,0.0
1997-06-01,210.5,0.0
1997-07-01,215.5,0.0047506
1997-08-01,225.0,0.014694666666666667
1997-09-01,222.875,-0.0038509999999999994
1997-10-01,222.0,0.0031910000000000003
1997-11-01,222.5,-0.0055555
1997-12-01,220.0,0.0
1998-01-01,219.5,-0.00113625
1998-02-01,219.0,0.0
1998-03-01,219.0,0.0
1998-04-01,213.7,-0.008331
1998-05-01,210.0,0.0
1998-06-01,209.375,-0.00297625
1998-07-01,195.0,-0.031086
1998-08-01,170.83333333333334,-0.027911666666666668
1998-09-01,167.5,0.0
1998-10-01,154.375,-0.022912750000000003
1998-11-01,143.125,-0.02049175
1998-12-01,140.0,0.0
1999-01-01,140.0,0.0
1999-02-01,140.0,0.0
1999-03-01,140.0,0.0
1999-04-01,143.75,0.01339275
1999-05-01,148.75,0.0084745
1999-06-01,154.5,0.0065574
1999-07-01,159.375,0.01190475
1999-08-01,165.625,0.003788
1999-09-01,167.5,0.0
1999-10-01,167.5,0.0
1999-11-01,176.875,0.01865675
1999-12-01,177.5,-0.0069445
2000-01-01,175.0,0.0
2000-02-01,199.375,0.0464285
2000-03-01,207.5,0.0
2000-04-01,205.0,-0.003012
2000-05-01,206.0,0.005122000000000001
2000-06-01,200.0,-0.0238095
2000-07-01,182.5,-0.01973675
2000-08-01,171.25,-0.01071425
2000-09-01,150.0,-0.03515225
2000-10-01,145.0,0.0
2000-11-01,140.5,-0.010468
2000-12-01,137.5,0.0
2001-01-01,136.3,-0.008727200000000001
2001-02-01,133.625,0.01615975
2001-03-01,140.0,0.0
2001-04-01,140.0,0.0
2001-05-01,140.0,0.0
2001-06-01,140.0,0.0
2001-07-01,146.25,0.030342
2001-08-01,150.0,-0.015873
2001-09-01,143.125,-0.00431025
2001-10-01,142.5,0.0
2001-11-01,142.5,0.0
2001-12-01,142.5,0.0
2002-01-01,145.0,0.004386
2002-02-01,145.0,0.0
2002-03-01,147.5,0.00862075
2002-04-01,160.625,0.028116500000000003
2002-05-01,177.5,0.0119402
2002-06-01,191.25,0.0387325
2002-07-01,202.5,-0.012195
2002-08-01,195.0,0.0
2002-09-01,200.0,0.025641
2002-10-01,215.0,0.0
2002-11-01,222.5,0.011628
2002-12-01,225.0,0.0
2003-01-01,225.0,0.0
2003-02-01,228.75,0.01666675
2003-03-01,240.0,0.0
2003-04-01,240.0,0.0
2003-05-01,240.0,0.0
2003-06-01,240.0,0.0
2003-07-01,236.5,-0.002039
2003-08-01,237.5,0.0
2003-09-01,237.5,0.0
2003-10-01,237.5,0.0
2003-11-01,262.5,0.02631575
2003-12-01,297.0,0.059737799999999994
2004-01-01,358.75,0.02395025
2004-02-01,398.125,0.03029975
2004-03-01,445.0,0.0117648
2004-04-01,450.0,0.0
2004-05-01,445.0,-0.00277775
2004-06-01,447.0,0.0022472
2004-07-01,455.0,0.0055555
2004-08-01,480.0,0.016073
2004-09-01,490.0,0.0
2004-10-01,497.5,0.015306
2004-11-01,515.0,-0.00240375
2004-12-01,507.0,-0.0038834
2005-01-01,485.625,-0.01126375
2005-02-01,482.5,0.0
2005-03-01,490.5,0.0032538000000000003
2005-04-01,470.0,-0.010204
2005-05-01,418.0,-0.026323600000000003
2005-06-01,377.5,-0.0623475
2005-07-01,310.0,0.0
2005-08-01,286.0,-0.0258064
2005-09-01,301.875,0.03935175
2005-10-01,300.5,-0.009600000000000001
2005-11-01,297.5,0.0
2005-12-01,305.0,0.012605
2006-01-01,312.5,0.0
2006-02-01,312.5,0.0
2006-03-01,312.5,0.0
2006-04-01,312.5,0.0
2006-05-01,401.5,0.0936634
2006-06-01,492.5,0.026508249999999997
2006-07-01,510.0,0.0
2006-08-01,510.0,0.0
2006-09-01,442.5,-0.0435315
2006-10-01,425.0,0.0
2006-11-01,426.25,0.00294125
2006-12-01,430.0,0.0
2007-01-01,433.0,0.0023255999999999997
2007-02-01,435.0,0.0
2007-03-01,462.5,0.01698875
2007-04-01,514.0,0.030879
2007-05-01,536.25,-0.00231475
2007-06-01,535.0,0.0
2007-07-01,535.0,0.0
2007-08-01,533.75,-0.0023365
2007-09-01,528.75,2.249999999999995e-05
2007-10-01,530.0,0.0
2007-11-01,528.75,-0.0023585
2007-12-01,538.125,0.00833325
2008-01-01,557.5,0.0092165
2008-02-01,615.0,0.048058
2008-03-01,695.0,0.0296296
2008-04-01,795.0,0.0064515
2008-05-01,902.5,0.046286
2008-06-01,945.0,0.0
2008-07-01,1028.75,0.03576
2008-08-01,1085.0,0.0
2008-09-01,1085.0,0.0
2008-10-01,815.0,-0.062212
2008-11-01,632.5,-0.11196325
2008-12-01,450.0,0.0
2009-01-01,368.75,-0.0583335
2009-02-01,355.0,0.0007722500000000004
2009-03-01,314.0,-0.0233928
2009-04-01,306.25,0.000615000000000001
2009-05-01,309.375,-0.00201625
2009-06-01,321.5,0.0113822
2009-07-01,390.0,0.05264725
2009-08-01,400.0,0.0025316
2009-09-01,475.0,0.0625
2009-10-01,456.875,-0.053895250000000006
2009-11-01,410.0,0.0062894000000000005
2009-12-01,410.0,0.0
2010-01-01,421.25,0.027439
2010-02-01,458.75,0.00280625
2010-03-01,514.5,0.061392199999999994
2010-04-01,640.625,0.019628
2010-05-01,611.5,-0.0388796
2010-06-01,532.5,0.0
2010-07-01,485.0,-0.01943975
2010-08-01,509.0,0.012381000000000001
2010-09-01,533.75,0.0064685
2010-10-01,529.375,-0.0058685
2010-11-01,515.0,-0.001923
2010-12-01,515.0,0.0
2011-01-01,545.0,0.0582524
2011-02-01,702.5,0.018797
2011-03-01,705.0,-0.006993
2011-04-01,675.0,-0.0143885
2011-05-01,652.5,-0.0007634
2011-06-01,635.0,-0.01341
2011-07-01,610.0,-0.00607275
2011-08-01,612.5,0.0041494
2011-09-01,615.0,0.0
2011-10-01,615.0,0.0
2011-11-01,615.0,0.0
2011-12-01,515.0,-0.05420066666666667
2012-01-01,536.5,0.0162744
2012-02-01,557.5,0.0
2012-03-01,565.0,0.00448425
2012-04-01,565.5,-0.0017621999999999998
2012-05-01,561.25,-0.00222225
2012-06-01,557.5,0.0
2012-07-01,556.5,-0.0017938
2012-08-01,507.5,-0.02714925
2012-09-01,484.375,-0.00896175
2012-10-01,475.0,0.0
2012-11-01,461.25,-0.01332775
2012-12-01,450.0,0.0
2013-01-01,480.0,0.02222225
2013-02-01,495.0,0.005102
2013-03-01,500.0,0.0
2013-04-01,489.0,-0.011
2013-05-01,470.0,-0.0026455
2013-06-01,470.0,0.0
2013-07-01,470.0,0.0
2013-08-01,477.5,0.00531925
2013-09-01,505.0,0.011416599999999999
2013-10-01,483.125,-0.01600975
2013-11-01,475.0,0.0
2013-12-01,485.0,0.0105264
2014-01-01,507.5,0.0075
2014-02-01,515.0,0.0
2014-03-01,518.0,-0.0018307999999999998
2014-04-01,510.0,0.0
2014-05-01,507.5,-0.002451
2014-06-01,501.0,-0.0019802
2014-07-01,491.25,-0.00875
2014-08-01,481.25,0.0026929999999999996
2014-09-01,491.0,0.002046
2014-10-01,492.5,0.0
2014-11-01,450.625,-0.038828
2014-12-01,404.5,-0.0132684
2015-01-01,376.875,-0.01781325
2015-02-01,343.75,-0.0246765
2015-03-01,328.0,-0.0030304
2015-04-01,315.0,-0.01562875
2015-05-01,305.0,0.0
2015-06-01,299.0,-0.006625799999999999
2015-07-01,290.0,-0.0084745
2015-08-01,273.9,-0.012919
2015-09-01,258.75,-0.011362
2015-10-01,243.75,-0.012403500000000001
2015-11-01,233.0,-0.0126576
2015-12-01,216.875,-0.01682625
2016-01-01,212.5,0.0
2016-02-01,229.5,0.0269416
2016-03-01,295.625,0.07145625
2016-04-01,346.875,0.041106000000000004
2016-05-01,387.0,-0.0007776000000000005
2016-06-01,336.875,-0.03149975
2016-07-01,321.5,-0.00768075
2016-08-01,318.5,0.004737
2016-09-01,323.625,0.0019417500000000001
2016-10-01,341.5,0.017933
2016-11-01,383.75,0.02755575
2016-12-01,414.375,0.015634750000000003
2017-01-01,417.0,-0.0071428
2017-02-01,411.875,0.01069075
2017-03-01,426.875,0.0014965000000000002
2017-04-01,420.0,-0.005926000000000001
2017-05-01,405.5,-0.0035846000000000003
2017-06-01,392.5,-0.015688
2017-07-01,406.5,0.020201
2017-08-01,443.75,0.02440075
2017-09-01,505.0,0.022219500000000003
2017-10-01,493.5,-0.006980200000000001
2017-11-01,470.625,-0.0115385
2017-12-01,489.375,0.0224385
2018-01-01,524.0,0.0108
2018-02-01,541.25,0.0046565
2018-03-01,577.5,0.016973000000000002
2018-04-01,565.0,-0.0095336
2018-05-01,532.5,-0.01252475
2018-06-01,512.5,-0.007109
2018-07-01,527.4,0.008148200000000001
2018-08-01,525.0,-0.01113475
2018-09-01,492.5,-0.012459250000000002
2018-10-01,468.5,-0.012639800000000001
2018-11-01,450.0,-0.0067635
2018-12-01,420.0,-0.018609
2019-01-01,405.0,0.00475625
2019-02-01,466.875,0.04962075
2019-03-01,497.5,-0.00124375
2019-04-01,481.5,-0.008201
2019-05-01,453.125,-0.01471275
2019-06-01,435.625,-0.0183945
2019-07-01,416.5,0.0012192
2019-08-01,413.125,-0.0075395
2019-09-01,385.5,-0.017792999999999996
2019-10-01,351.875,-0.02076275
2019-11-01,357.75,0.023281000000000003
2019-12-01,396.0,0.016967799999999998
2020-01-01,419.375,0.013760999999999999
2020-02-01,424.375,-0.00440325
2020-03-01,386.5,-0.043106
2020-04-01,322.5,-0.0011800000000000005
2020-05-01,338.75,0.0111685
2020-06-01,366.5,0.014078000000000002
2020-07-01,384.375,0.01804275
