Date,Mid_Value,Mid_Change
2005-07-01,26.0,0.0
2005-08-01,29.0,0.115385
2005-09-01,31.0,0.068966
2005-10-01,31.0,0.0
2005-11-01,31.0,0.0
2005-12-01,31.0,0.0
2006-01-01,31.0,0.0
2006-02-01,31.0,0.0
2006-03-01,31.0,0.0
2006-04-01,32.0,0.032258
2006-05-01,33.1,0.034375
2006-06-01,33.5,0.012085
2006-07-01,33.5,0.0
2006-08-01,33.5,0.0
2006-09-01,33.5,0.0
2006-10-01,33.5,0.0
2006-11-01,33.5,0.0
2006-12-01,33.5,0.0
2007-01-01,34.75,0.037313
2007-02-01,36.0,0.035971
2007-03-01,38.5,0.069444
2007-04-01,38.5,0.0
2007-05-01,38.5,0.0
2007-06-01,38.5,0.0
2007-07-01,38.5,0.0
2007-08-01,38.5,0.0
2007-09-01,39.35,0.022078
2007-10-01,39.35,0.0
2007-11-01,39.35,0.0
2007-12-01,40.6,0.031766
2008-01-01,43.85,0.080049
2008-02-01,43.85,0.0
2008-03-01,44.85,0.022805
2008-04-01,50.35,0.122631
2008-05-01,52.85,0.049652
2008-06-01,54.35,0.028382
2008-07-01,57.6,0.059798
2008-08-01,57.6,0.0
2008-09-01,57.6,0.0
2008-10-01,47.6,-0.173611
2008-11-01,43.45,-0.087185
2008-12-01,45.2,0.040276
2009-01-01,45.2,0.0
2009-02-01,43.7,-0.033186
2009-03-01,42.45,-0.028604
2009-04-01,34.75,-0.18139
2009-05-01,35.75,0.028777
2009-07-01,37.75,0.055944
2009-10-01,36.25,-0.039735
2009-12-01,38.25,0.055172
2010-01-01,36.0,-0.058824
2010-03-01,38.5,0.069444
2010-06-01,37.25,-0.032468
2010-07-01,36.25,-0.026846
2010-09-01,38.0,0.030574999999999998
2010-12-01,39.5,0.025974
2011-01-01,41.75,0.056962
2011-02-01,45.0,0.077844
2011-06-01,41.0,-0.088889
2011-07-01,42.0,0.02439
2011-11-01,41.0,-0.02381
2011-12-01,42.0,0.02439
2012-01-01,43.5,0.035714
2012-02-01,42.0,-0.034483
2012-06-01,40.5,-0.035714
2012-07-01,39.0,-0.037037
2012-08-01,39.5,0.012821
2012-09-01,38.75,-0.018987
2012-10-01,36.63,-0.05471
2012-11-01,38.13,0.04095
2012-12-01,39.0,0.022817
2013-01-01,38.25,-0.019231
2013-04-01,39.75,0.013721500000000001
2013-05-01,37.13,-0.054013
2013-06-01,36.5,-0.016967
2013-07-01,35.5,-0.027397
2013-10-01,35.63,0.003662
2013-11-01,35.75,0.003368
2014-01-01,38.0,0.062937
2014-02-01,38.5,0.013158
2014-03-01,41.0,0.064935
2014-05-01,40.5,-0.012195
2014-07-01,41.0,0.012346
2014-12-01,39.0,-0.02439
2015-01-01,39.0,0.0
2015-02-01,36.0,-0.076923
2015-03-01,36.0,0.0
2015-04-01,36.0,0.0
2015-05-01,36.0,0.0
2015-06-01,36.0,0.0
2015-07-01,36.0,0.0
2015-08-01,36.0,0.0
2015-09-01,35.0,-0.027778
2015-10-01,35.0,0.0
2015-11-01,35.0,0.0
2015-12-01,35.0,0.0
2016-01-01,35.0,0.0
2016-02-01,35.0,0.0
2016-03-01,34.0,-0.028571
2016-04-01,35.0,0.029412
2016-05-01,35.75,0.021429
2016-06-01,35.75,0.0
2016-07-01,35.75,0.0
2016-08-01,35.75,0.0
2016-09-01,32.5,-0.090909
2016-10-01,32.5,0.0
2016-11-01,34.0,0.046154
2017-01-01,35.75,0.0257355
2017-02-01,35.75,0.0
2017-03-01,35.75,0.0
2017-04-01,35.75,0.0
2017-05-01,35.75,0.0
2017-06-01,35.75,0.0
2017-07-01,35.75,0.0
2017-08-01,35.75,0.0
2017-09-01,31.75,-0.111888
2017-10-01,31.75,0.0
2017-11-01,31.75,0.0
2017-12-01,33.75,0.062992
2018-01-01,36.0,0.066667
2018-03-01,39.125,0.057383500000000004
2018-04-01,42.0,0.043478
2018-05-01,42.0,0.0
2018-06-01,43.5,0.035714
2018-07-01,43.5,0.0
2018-08-01,43.5,0.0
2018-09-01,43.5,0.0
2018-10-01,41.75,-0.04023
2018-11-01,41.75,0.0
2018-12-01,41.75,0.0
2019-01-01,41.75,0.0
2019-02-01,43.25,0.035928
2019-03-01,43.25,0.0
2019-04-01,43.25,0.0
2019-05-01,41.25,-0.046243
2019-06-01,38.25,-0.072727
2019-07-01,38.25,0.0
2019-08-01,35.25,-0.078431
2019-09-01,33.75,-0.042553
2019-10-01,32.75,-0.02963
2019-12-01,34.5,0.037488999999999995
2020-01-01,36.5,0.035461
2020-02-01,36.5,0.0
2020-03-01,36.5,0.0
2020-04-01,35.25,-0.034247
2020-05-01,35.25,0.0
2020-06-01,35.25,0.0
2020-07-01,35.25,0.0
2020-08-01,35.25,0.0
2020-09-01,35.25,0.0
2020-10-01,35.25,0.0
2020-11-01,38.0,0.078014
2020-12-01,45.5,0.197368
2021-01-01,47.5,0.043956
2021-02-01,47.5,0.0
2021-03-01,50.0,0.052632
2021-04-01,52.5,0.05
2021-05-01,60.0,0.142857
2021-06-01,60.0,0.0
2021-07-01,63.0,0.05
2021-08-01,65.5,0.039683
2021-09-01,68.0,0.038168
2021-10-01,68.0,0.0
2021-11-01,70.5,0.036765
2022-01-01,70.5,0.0
2022-02-01,70.5,0.0
2022-03-01,73.5,0.042553
2022-04-01,76.5,0.040816
2022-05-01,76.5,0.0
2022-06-01,76.5,0.0
2022-07-01,73.5,-0.039216
2022-08-01,73.5,0.0
2022-09-01,73.5,0.0
2022-10-01,70.5,-0.040816
2022-11-01,66.0,-0.06383
2022-12-01,66.0,0.0
2023-01-01,66.0,0.0
2023-02-01,66.0,0.0
2023-03-01,68.5,0.037879
2023-04-01,68.5,0.0
2023-05-01,68.5,0.0
2023-06-01,68.5,0.0
2023-07-01,67.6,-0.013139
2023-08-01,64.75,-0.04216
2023-09-01,64.75,0.0
2023-10-01,64.75,0.0
2023-11-01,64.75,0.0
2023-12-01,64.75,0.0
2024-01-01,67.25,0.03861
2024-02-01,67.25,0.0
2024-03-01,63.25,-0.05948
2024-04-01,63.25,0.0
2024-05-01,63.25,0.0
2024-06-01,63.25,0.0
2024-07-01,63.25,0.0
2024-08-01,63.25,0.0
2024-09-01,63.25,0.0
2024-10-01,63.25,0.0
2024-12-01,63.25,0.0
2025-01-01,63.25,0.0
2025-02-01,63.25,0.0
